주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명
138-1-000001,송정호안도로,공영,노상,부산광역시 해운대구 송정동 288-44번지 일원,194,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10,300,부산광역시 해운대구
138-1-000002,송정 광어골,공영,노상,부산광역시 해운대구 송정동 462번지 일원,92,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10,300,부산광역시 해운대구
138-1-000003,해운대교육지원청주변공영,공영,노상,"부산광역시 해운대구 좌동 1290, 1407-6번지 일원",34,9:00,22:00,9:00,22:00,9:00,22:00,10,300,10,300,부산광역시 해운대구
138-2-000004,죽도공원공영,공영,노외,부산광역시 해운대구 송정동288-2일원,27,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10,300,부산광역시 해운대구
138-2-000005,반여2동 제1공영,공영,노외,부산광역시 해운대구 반여2동 1291-1509번지,266,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000006,반여2동 제2공영,공영,노외,부산광역시 해운대구 반여2동 1291-940번지,234,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000007,반여3동 제2공영,공영,노외,부산광역시 해운대구 반여3동 1575-93번지,130,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000008,반여4동 공영,공영,노외,부산광역시 해운대구 반여3동 1575-93번지,109,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000009,반송1동 제1공영,공영,노외,부산광역시 해운대구 반송1동 745-13번지,304,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000010,반송1동 제2공영,공영,노외,부산광역시 해운대구 반송1동 259-86번지,154,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000012,좌동문화원부지 공영,공영,노외,부산광역시 해운대구 좌1동 1458-4번지,49,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10,500,부산광역시 해운대구
138-2-000013,문탠로드관광 공영,공영,노외,부산광역시 해운대구 중1동 974-1번지,99,0:00,23:59,0:00,23:59,0:00,23:59,10,300,10,300,부산광역시 해운대구
138-2-000014,재송2동 공영,공영,노외,부산광역시 해운대구 재송2동 1042-3번지,114,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000015,반송2동 공영,공영,노외,부산광역시 해운대구 반송동 303번지,291,0:00,23:59,0:00,23:59,0:00,23:59,10,100,10,100,부산광역시 해운대구
138-2-000016,해월정 달맞이길 공영,공영,노외,부산광역시 해운대구 중2동 산42-20번지,56,9:00,22:00,9:00,22:00,9:00,22:00,10,300,10,300,부산광역시 해운대구
138-2-000017,동백 공영,공영,노외,부산광역시 해운대구 우1동 1151-3번지,72,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10,500,부산광역시 해운대구
138-2-000018,청사포 공영,공영,노외,부산광역시 해운대구 중동 553번지,113,9:00,18:00,9:00,18:00,9:00,18:00,10,300,10,300,부산광역시 해운대구
138-1-000019,재반로 노상공영 A,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),24,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10,100,부산광역시 해운대구
138-1-000020,재반로 노상공영 B,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),17,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10,100,부산광역시 해운대구
138-1-000021,재반로 노상공영 C,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),20,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10,100,부산광역시 해운대구
138-1-000022,재반로 노상공영 D,공영,노상,부산광역시 해운대구 재반로 일원(반여동1291-1199),19,9:00,22:00,9:00,22:00,9:00,22:00,10,100,10,100,부산광역시 해운대구
138-1-000023,대천공원공영주차장,공영,노상,부산광역시 해운대구 좌동 1384번지,79,0:00,23:59,0:00,23:59,0:00,23:59,10,200,10,200,부산광역시 해운대구
138-1-000024,동백공원공영주차장,공영,노상,부산광역시 해운대구 우동 721번지,129,0:00,23:59,0:00,23:59,0:00,23:59,10,500,10,500,부산광역시 해운대구
138-4-000016,왕자주차장,민영,노외,부산광역시 해운대구 반여1동1405-37,10,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000017,양지주차장,민영,노외,부산광역시 해운대구 반송1동250-2343,6,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000018,장원주차장,민영,노외,"부산광역시 해운대구 반여1동1244-4,5",12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000019,송림주차장,민영,노외,"부산광역시 해운대구 우1동703-1,19",8,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,30,2000,부산광역시 해운대구
138-4-000020,미포주차장,민영,노외,부산광역시 해운대구 중1동1035-2,8,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000021,반여주차장,민영,노외,부산광역시 해운대구 반여1동1010-9,12,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,10,100,부산광역시 해운대구
138-4-000022,예스렌트카주차장,민영,노외,부산광역시 해운대구 중1동836,6,10:00,22:00,10:00,22:00,10:00,22:00,30,1000,10,100,부산광역시 해운대구
138-4-000023,진영주차장,민영,노외,"부산광역시 해운대구 반송1동250-2296,2297",7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000024,삼성주차장,민영,노외,"부산광역시 해운대구 중1동1382-1,6,8,10",84,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,10,500,부산광역시 해운대구
138-4-000025,성진주차장,민영,노외,부산광역시 해운대구 재송1동1118-4,16,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000026,태영주차장,민영,노외,부산광역시 해운대구 우1동544-1,12,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,0,0,부산광역시 해운대구
138-4-000027,일승주차장,민영,노외,부산광역시 해운대구 좌1동420-1,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000028,제일주차장,민영,노외,부산광역시 해운대구 반송1동744-87외1,13,10:00,22:00,10:00,22:00,10:00,22:00,30,500,30,1000,부산광역시 해운대구
138-4-000029,해운대역주차장,민영,노외,부산광역시 해운대구 우1동552-21 (구562-4),20,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000030,고려주차장,민영,노외,부산광역시 해운대구 중1동1378-77,12,10:00,22:00,10:00,22:00,10:00,22:00,60,3000,30,1500,부산광역시 해운대구
138-4-000031,제일주차장,민영,노외,부산광역시 해운대구 우1동175-3,24,10:00,22:00,10:00,22:00,10:00,22:00,30,500,30,1000,부산광역시 해운대구
138-4-000032,신도시주차장,민영,노외,부산광역시 해운대구 좌1동912,45,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0,0,부산광역시 해운대구
138-4-000033,대성주차장,민영,노외,부산광역시 해운대구 반여1동955,27,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000034,24시주차장,민영,노외,부산광역시 해운대구 우1동647-8,32,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,30,1500,부산광역시 해운대구
138-4-000035,해우주차장,민영,노외,부산광역시 해운대구 중1동1396-59,24,10:00,22:00,10:00,22:00,10:00,22:00,30,2000,0,0,부산광역시 해운대구
138-4-000036,우동주차장,민영,노외,"부산광역시 해운대구 우1동437-3,439-1,440-3",29,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000037,대성주차장,민영,노외,부산광역시 해운대구 반송1동259-111,12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000038,해운대구청주차장,민영,노외,부산광역시 해운대구 중1동1378-95,99,10:00,22:00,10:00,22:00,10:00,0:00,10,300,0,0,부산광역시 해운대구
138-4-000039,반여동주차장,민영,노외,부산광역시 해운대구 반여1동740-6,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000040,신라주차장,민영,노외,"부산광역시 해운대구 재송2동210-27,42",31,10:00,22:00,10:00,22:00,10:00,22:00,60,1000,0,0,부산광역시 해운대구
138-4-000041,신촌주차장,민영,노외,부산광역시 해운대구 반여1동1248,13,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000042,반송주차장,민영,노외,부산광역시 해운대구 반송1동744-206,7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000044,해천주차장,민영,노외,부산광역시 해운대구 반송1동250-2292,14,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000045,기장주차장,민영,노외,부산광역시 해운대구 우1동542-25,16,10:00,22:00,10:00,22:00,10:00,22:00,60,4000,10,1000,부산광역시 해운대구
138-4-000046,대영주차장,민영,노외,부산광역시 해운대구 재송1동1071-26,7,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000047,부일주차장,민영,노외,부산광역시 해운대구 우1동151-4외1,9,10:00,22:00,10:00,22:00,10:00,22:00,60,2000,30,1000,부산광역시 해운대구
138-4-000048,성심주차장,민영,노외,부산광역시 해운대구 반송1동261-131,12,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000049,송민주차장,민영,노외,"부산광역시 해운대구 반송1동250-1004,1005",6,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000050,유진주차장,민영,노외,"부산광역시 해운대구 반송2동331-8,13",30,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000051,주차장,민영,노외,부산광역시 해운대구 중동 276-1,20,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000052,누리주차장,민영,노외,부산광역시 해운대구 우동 641-14,12,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,30,1500,부산광역시 해운대구
138-4-000053,한라주차장,민영,노외,부산광역시 해운대구 좌동 1521-3,363,10:00,22:00,10:00,22:00,10:00,22:00,60,1000,60,1000,부산광역시 해운대구
138-4-000054,해운대블루주차장,민영,노외,부산광역시 해운대구 좌동 1360,43,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000055,대천주차장,민영,노외,부산광역시 해운대구 좌동 1482-4,20,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,0,0,부산광역시 해운대구
138-4-000056,5994주차장,민영,노외,부산광역시 해운대구 반여동 1607-18,3,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000057,청도주차장,민영,노외,부산광역시 해운대구 반송1동250-1687,15,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000059,극동주차장,민영,노외,부산광역시 해운대구 중1동944-14,11,10:00,22:00,10:00,22:00,10:00,22:00,0,0,0,0,부산광역시 해운대구
138-4-000060,리베라세이브존주차장,민영,노외,부산광역시 해운대구 중1동1394-174,45,10:00,22:00,10:00,22:00,10:00,22:00,30,1500,10,500,부산광역시 해운대구
