,Unnamed: 0,관광지이름,주소,위도,경도,최단거리,최단거리m
0,0,유달산,목포시 유달로 180,34.7913294,126.3766487,7,471
1,1,갓바위,전라남도 목포시 용해동 산86-24,34.7921333,126.4257616,3,366
2,2,목포근대역사관,전라남도 목포시 영산로29번길 6 문화원 목포 근대역사관 1관(구 목포일본영사관),34.787514,126.3821295,9,400
3,3,국립 해양 문화재 연구소 해양박물관,전라남도 목포시 남농로 136,34.7921732,126.4217454,5,175
4,4,목포대교,고하대로597번길 73,34.8019928,126.3642719,7,1170
5,5,목포 자연사박물관,전라남도 목포시 용해동 남농로 135,34.7936555,126.4210867,3,175
6,6,국립해양유물전시관,전라남도 목포시 용해동 8,34.7921732,126.4217454,5,175
7,7,유달산 조각공원,전라남도 목포시 죽교동 120,34.7947158,126.3735414,0,471
8,8,김대중 노벨평화상 기념관,전라남도 목포시 만호동 삼학로92번길 68,34.7828401,126.39233,9,867
9,9,목포 문화원,전라남도 목포시 목원동 해안로249번길 34,34.7888175,126.3862175,2,400
