,가격
0,"105,600 원"
1,"115,000 원"
2,"110,000 원"
3,"51,000 원"
4,"50,000 원"
5,"180,000 원"
6,"40,000 원"
7,"60,000 원"
8,"40,500 원"
9,"72,000 원"
10,"40,000 원"
11,"92,000 원"
12,"59,999 원"
13,"48,771 원"
14,"40,000 원"
15,"190,000 원"
16,"150,000 원"
17,"34,999 원"
18,"45,000 원"
19,"35,000 원"
20,"93,599 원"
21,"30,001 원"
22,"59,999 원"
23,"50,000 원"
24,"35,000 원"
25,"93,599 원"
26,"44,550 원"
27,"44,000 원"
28,"41,160 원"
29,"43,393 원"
30,"41,160 원"
31,"39,910 원"
32,"41,160 원"
33,"30,001 원"
34,"36,015 원"
35,"36,015 원"
36,"50,000 원"
37,"40,001 원"
38,"27,000 원"
39,"40,000 원"
40,"45,000 원"
