년,광역지자체,기초지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
"2018","강원도","강릉시","9,167,249","31,244,031","418,154","40,411,280","31,662,185","40,829,434"
"2018","전라북도","전주시 완산구","12,083,582","41,297,403","146,220","53,380,985","41,443,623","53,527,205"
"2018","전라북도","전주시 덕진구","8,906,929","33,287,706","77,678","42,194,635","33,365,384","42,272,313"
"2018","전라남도","목포시","9,248,442","22,355,071","68,942","31,603,513","22,424,013","31,672,455"
"2018","경상북도","안동시","6,835,122","18,414,046","56,740","25,249,168","18,470,786","25,305,908"
"2019","강원도","강릉시","51,030,368","32,137,920","161,141","83,168,288","32,299,061","83,329,429"
"2019","전라북도","전주시 완산구","68,586,721","39,789,351","193,793","108,376,072","39,983,144","108,569,865"
"2019","전라북도","전주시 덕진구","54,085,553","33,741,407","95,578","87,826,960","33,836,985","87,922,538"
"2019","전라남도","목포시","54,444,733","23,609,856","99,406","78,054,588","23,709,261","78,153,994"
"2019","경상북도","안동시","41,153,724","18,972,849","75,528","60,126,574","19,048,377","60,202,102"
"2020","강원도","강릉시","56,888,227","31,213,630","30,641","88,101,856","31,244,271","88,132,497"
"2020","전라북도","전주시 완산구","65,936,465","33,373,772","31,404","99,310,237","33,405,176","99,341,641"
"2020","전라북도","전주시 덕진구","52,760,803","29,571,156","24,074","82,331,959","29,595,230","82,356,033"
"2020","전라남도","목포시","52,771,778","21,274,212","24,089","74,045,990","21,298,301","74,070,080"
"2020","경상북도","안동시","40,787,393","15,894,109","9,918","56,681,502","15,904,027","56,691,421"
