년,월,광역지자체,기초지자체,현지인(a),외지인(b),외국인(c),내국인(a+b),외부방문자(b+c),전체방문자(a+b+c)
"2018","07","강원도","강릉시","0","2,847,376","14,021","2,847,376","2,861,397","14,021"
"2018","07","전라북도","전주시 완산구","0","3,458,938","13,708","3,458,938","3,472,646","13,708"
"2018","07","전라북도","전주시 덕진구","0","2,958,589","7,516","2,958,589","2,966,104","7,516"
"2018","07","전라남도","목포시","0","1,886,892","6,728","1,886,892","1,893,620","6,728"
"2018","07","경상북도","안동시","0","1,516,113","5,392","1,516,113","1,521,504","5,392"
"2018","08","강원도","강릉시","0","3,641,547","14,333","3,641,547","3,655,880","14,333"
"2018","08","전라북도","전주시 완산구","0","3,466,138","13,064","3,466,138","3,479,202","13,064"
"2018","08","전라북도","전주시 덕진구","0","2,751,969","7,235","2,751,969","2,759,204","7,235"
"2018","08","전라남도","목포시","0","2,025,681","6,558","2,025,681","2,032,239","6,558"
"2018","08","경상북도","안동시","0","1,650,488","5,997","1,650,488","1,656,485","5,997"
"2018","09","강원도","강릉시","0","2,780,596","12,782","2,780,596","2,793,378","12,782"
"2018","09","전라북도","전주시 완산구","0","3,842,213","15,107","3,842,213","3,857,320","15,107"
"2018","09","전라북도","전주시 덕진구","0","3,172,099","9,522","3,172,099","3,181,621","9,522"
"2018","09","전라남도","목포시","0","2,166,496","8,568","2,166,496","2,175,064","8,568"
"2018","09","경상북도","안동시","0","2,023,581","7,767","2,023,581","2,031,348","7,767"
"2018","10","강원도","강릉시","0","2,401,294","15,689","2,401,294","2,416,983","15,689"
"2018","10","전라북도","전주시 완산구","0","3,484,355","22,407","3,484,355","3,506,762","22,407"
"2018","10","전라북도","전주시 덕진구","0","2,842,830","10,077","2,842,830","2,852,906","10,077"
"2018","10","전라남도","목포시","0","1,873,354","8,184","1,873,354","1,881,538","8,184"
"2018","10","경상북도","안동시","0","1,597,736","10,163","1,597,736","1,607,899","10,163"
"2018","11","강원도","강릉시","4,541,117","2,025,457","10,557","6,566,574","2,036,014","6,577,131"
"2018","11","전라북도","전주시 완산구","5,941,516","3,266,060","18,643","9,207,576","3,284,703","9,226,219"
"2018","11","전라북도","전주시 덕진구","4,318,801","2,658,397","6,819","6,977,198","2,665,216","6,984,017"
